X,Y,objectid,reg_no,part,act,year,section,sdesc,desc_,feat_num,test,keyval,tpo_ref,tree_ref,amended
433837.922,385454.128,69882,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1039,808/58,,
433836.254,385452.571,69883,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6211,1,A1040,808/58,,
433829.468,385443.449999999,69884,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6212,1,A1041,808/58,,
433827.355,385436.888,69885,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6212,1,A1042,808/58,,
433830.581,385434.835999999,69886,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6212,1,A1043,808/58,,
433832.472,385437.925000001,69887,810,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/58          :,6212,1,A1044,808/58,,
429281.52,385702.65,69888,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110        :,6197,1,A739,808/110,,
430942.328,390014.631999999,69889,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T2,6212,1,A1046,808/265,T2,
430926.903,390020.288000001,69890,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T3,6212,1,A1047,808/265,T3,
430927.221,390007.672,69891,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T4,6212,1,A1048,808/265,T4,
430909.923,390013.939999999,69892,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T5,6212,1,A1049,808/265,T5,
430906.238,390015.390000001,69893,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T6,6212,1,A1050,808/265,T6,
430904.204,390013.607000001,69894,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T7,6212,1,A1051,808/265,T7,
430897.243,390017.796,69895,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T8,6212,1,A1052,808/265,T8,
430893.901,390020.101,69896,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T9,6212,1,A1053,808/265,T9,
430888.484,390022.351,69897,9200,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/265        : T10,6212,1,A1054,808/265,T10,
430796.475,389903.221999999,69898,9231,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/266        : T1,6212,1,A1055,808/266,T1,
435183.124,396879.057,69899,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T1,6213,1,A1056,808/78,T1,
435151.292,396864.405999999,69900,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T9,6213,1,A1057,808/78,T9,
435146.811,396861.446,69901,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T1,6213,1,A1058,808/78,T1,
435181.592,396878.601,69902,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T2,6213,1,A1059,808/78,T2,
435180.33,396878.456,69903,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T3,6213,1,A1060,808/78,T3,
435171.175,396870.356000001,69904,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T4,6213,1,A1061,808/78,T4,
435167.756,396867.381999999,69905,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T5,6213,1,A1062,808/78,T5,
435164.308,396865.316,69906,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T6,6213,1,A1063,808/78,T6,
435159.192,396863.207,69907,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T7,6213,1,A1064,808/78,T7,
435154.813,396860.165999999,69908,1751,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/78          : T8,6213,1,A1065,808/78,T8,
436357.936,385626.195,69909,9725,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/256        : T4,6215,1,A1066,808/256,T4,
436346.664,385633.357999999,69910,9725,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/256        : T6,6215,1,A1067,808/256,T6,
436348.442,385632.305,69911,9725,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/256        : T5,6215,1,A1068,808/256,T5,
436350.608,385638.027000001,69912,9725,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/256        : T1,6215,1,A1069,808/256,T1,
436350.056,385635.734999999,69913,9725,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/256        : T3,6215,1,A1070,808/256,T3,
436352.541,385636.978,69914,9725,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/256        : T2,6215,1,A1071,808/256,T2,
431048.546,392908.123,69915,9729,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/270        : T13,6216,1,A1072,808/270,T13,
431051.353,392910.193,69916,9729,3b,TOWN AND,1990,"198,201 AND",TREE PRESERVATION ORDE,TPO No. 808/270        : T14,6216,1,A1073,808/270,T14,
