objectid,site_no,positive_m,designatio,site_name,mastersite,globalid,created_user,created_date,last_edited_user,last_edited_date,st_areashape,st_perimetershape
44,206,y,LWS,Ecclesfield Dam, ,{F11F608C-FA0C-43D1-AC94-BA99AE3347DC},,,,,35939.9433087182,1634.15537814909
45,201,n,LWS,Whitely Hall & Green Lane Farm, ,{2B6B128E-2F62-4578-AE9F-0E8890AEAD59},,,,,147839.753979661,2865.2225700516
46,188,y,LWS,Hesley Wood & Chapletown Park, ,{86AE74A7-93AC-4860-9D7A-D0D179B21CF6},,,,,417551.597091605,4800.65599574732
47,67,n,LWS,Burnt Hill Lane, ,{D1D67745-2ACF-4F43-9E89-C865E09279C6},,,,,23538.2633182273,1199.3269078377
48,224,n,LWS,Haggstones, ,{3C646EB0-3C45-4739-83FB-EE0B04B40C84},,,,,45314.7214644154,996.628042564501
49,63,n,LWS,Coumes Farm, ,{DA508E9D-AB3C-428C-B5BE-ED588426EB03},,,,,26697.181010735,1074.97837542549
50,227,n,LWS,Birks Wood, ,{587049C7-9651-41F4-BF7D-694531604ED8},,,,,200363.918945456,3611.05576699233
51,228,n,LWS,Wadsley Park (formerly Middlewood Hospital), ,{060BBDCE-C99D-46DF-BF8F-F0A607346603},,,,,71994.1759424005,2586.92370468521
52,231,n,LWS,Wilson Spring Wood, ,{B5ABA7B8-AA47-46BC-88FB-9725C50999B2},,,,,84654.7975292147,1460.26013336246
53,192,y,LWS,Wharncliffe Woods,Wharncliffe,{F17076C4-99CF-4A9A-B1F5-8364ADE33D8B},,,,,1512050.46835038,8710.60396601263
54,199,n,LWS,Westwood Country Park,Westwood & Thorncliffe Wood,{89517E75-F5B5-4574-A561-107A2CDA26F7},,,,,618572.312064446,5382.12906534318
55,61,n,LWS,Coumes Vale Wood, ,{892970FD-4B47-4DFD-A65A-31EFA801BC64},,,,,351210.582341264,5776.91915765887
56,6,n,LWS,Dungworth Recreation Ground, ,{16747F77-42A3-47D6-96C4-4AD1A6DC5C80},,,,,21370.0623333371,686.195001280682
57,5,n,LWS,Loadbrook, ,{AF1CE78D-614B-4970-8362-A4AFE8ED2BDA},,,,,139601.102656215,4092.57266847684
58,223,n,LWS,Sensicall Park, ,{EBAEC67F-CBC4-4D04-86F4-267768ECC074},,,,,47931.2708662954,2057.20063492454
59,285,n,LWS,Rother Valley:Beighton to Holbrook, ,{A4EC5EB6-6834-4F76-AB5F-0F8C20B7361C},,,,,552768.644924876,15652.8168355052
60,273,y,LWS,Westfield Plantation, ,{1E865235-37E9-40FD-AFE1-D08E24198ABB},,,,,127619.2461486,4963.51835255194
61,45,n,LWS,Old Haywoods, ,{AF6B64B2-BF3E-44DA-9ED1-38B075DC5CD8},,,,,148332.767972573,3713.02576360847
62,140,n,LWS,Oakes Park, ,{F310BD29-CC4A-4F96-8A65-9A9683E579FA},,,,,303856.005734739,3802.59399603002
63,222,n,LWS,Hillsborough Golf Course, ,{7D83E314-F357-457F-AA8C-AB076133C4BC},,,,,150236.745144512,5058.00557032831
64,195,y,LWS,Greno Wood, ,{9C46C0BA-8A04-4A55-A4D6-280108015CA7},,,,,1363547.79116857,8373.80452436697
